account_id,account_holder_name,account_type,home_country,currency,kyc_tier,account_created_date,personal_spend_baseline_usd
FLR-ACC-100047,Aisha Adeyemi,Individual,NG,NGN,Tier3_Enhanced,2024-04-18,51.03
FLR-ACC-100048,Ngozi Okoro,Individual,US,USD,Tier2_Verified,2023-08-15,54.6
FLR-ACC-100049,North Builders LLC,Business,NG,NGN,Tier3_Enhanced,2023-11-27,532.83
FLR-ACC-100050,Laura Johnson,Individual,GB,GBP,Tier1_Basic,2026-06-08,84.73
FLR-ACC-100051,Aisha Nwosu,Individual,US,USD,Tier3_Enhanced,2025-01-31,143.01
FLR-ACC-100052,Laura Adeyemi,Individual,US,USD,Tier2_Verified,2025-07-15,218.47
FLR-ACC-100053,Ruth Eze,Individual,GB,GBP,Tier2_Verified,2025-07-16,81.92
FLR-ACC-100054,Blessing Brown,Individual,NG,NGN,Tier2_Verified,2025-03-03,63.87
FLR-ACC-100055,Amaka Obi,Individual,NG,NGN,Tier1_Basic,2026-08-29,67.35
FLR-ACC-100056,North Trading Ltd,Business,FR,EUR,Tier2_Verified,2026-02-03,287.02
FLR-ACC-100057,Kunle Chukwu,Individual,GB,GBP,Tier3_Enhanced,2024-05-03,39.99
FLR-ACC-100058,Apex Textiles Ltd,Business,NG,NGN,Tier2_Verified,2025-11-04,484.97
FLR-ACC-100059,Kemi Hassan,Individual,NG,NGN,Tier2_Verified,2024-10-30,90.88
FLR-ACC-100060,Kemi Brown,Individual,NG,NGN,Tier3_Enhanced,2024-08-17,115.73
FLR-ACC-100061,David Brown,Individual,NG,NGN,Tier2_Verified,2023-10-29,36.89
FLR-ACC-100062,Silverline Builders Co.,Business,NG,NGN,Tier3_Enhanced,2025-01-07,685.02
FLR-ACC-100063,Michael Bello,Individual,NG,NGN,Tier2_Verified,2025-09-10,69.65
FLR-ACC-100064,Chioma Adeyemi,Individual,NG,NGN,Tier3_Enhanced,2025-01-05,217.96
FLR-ACC-100065,David Ibrahim,Individual,DE,EUR,Tier2_Verified,2025-11-14,115.49
FLR-ACC-100066,Kemi Nwosu,Individual,US,USD,Tier2_Verified,2023-09-21,119.09
FLR-ACC-100067,Ruth Obi,Individual,US,USD,Tier3_Enhanced,2024-10-03,25.41
FLR-ACC-100068,Greenfield Ventures LLC,Business,US,USD,Tier3_Enhanced,2024-09-17,186.5
FLR-ACC-100069,Tunde Adeyemi,Individual,US,USD,Tier2_Verified,2024-06-26,55.42
FLR-ACC-100070,Bluewave Consulting Ltd,Business,US,USD,Tier3_Enhanced,2025-03-30,757.82
FLR-ACC-100071,Olu Adekunle,Individual,GB,GBP,Tier2_Verified,2025-01-18,20.47
FLR-ACC-100072,Metro Foods Inc,Business,FR,EUR,Tier2_Verified,2025-07-13,631.43
FLR-ACC-100073,Silverline Foods Inc,Business,NG,NGN,Tier2_Verified,2026-01-13,655.3
FLR-ACC-100074,Emeka Fashola,Individual,NG,NGN,Tier1_Basic,2025-08-20,80.27
FLR-ACC-100075,Metro Trading Co.,Business,FR,EUR,Tier3_Enhanced,2025-06-08,1637.62
FLR-ACC-100076,Greenfield Logistics Ltd,Business,NG,NGN,Tier2_Verified,2025-11-13,135.18
FLR-ACC-100077,Greenfield Trading Ltd,Business,NG,NGN,Tier2_Verified,2026-07-08,187.81
FLR-ACC-100078,Kunle Fashola,Individual,FR,EUR,Tier2_Verified,2026-05-18,79.41
FLR-ACC-100079,Tunde Adeyemi,Individual,US,USD,Tier2_Verified,2026-05-12,40.0
FLR-ACC-100080,Michael Adekunle,Individual,NG,NGN,Tier2_Verified,2025-08-16,76.53
FLR-ACC-100081,Metro Media Inc,Business,NG,NGN,Tier1_Basic,2024-09-17,840.09
FLR-ACC-100082,James Smith,Individual,NG,NGN,Tier2_Verified,2024-08-22,15.86
FLR-ACC-100083,Musa Johnson,Individual,NG,NGN,Tier2_Verified,2025-07-26,197.85
FLR-ACC-100084,Urban Technologies LLC,Business,NG,NGN,Tier2_Verified,2025-05-30,1830.96
FLR-ACC-100085,Ruth Taylor,Individual,NG,NGN,Tier2_Verified,2023-09-03,19.61
FLR-ACC-100086,Amaka Ibrahim,Individual,NG,NGN,Tier2_Verified,2024-07-13,37.86
FLR-ACC-100087,Funke Nwosu,Individual,NG,NGN,Tier3_Enhanced,2025-03-21,103.27
FLR-ACC-100088,Kunle Yusuf,Individual,DE,EUR,Tier1_Basic,2026-02-23,41.49
FLR-ACC-100089,John Green,Individual,US,USD,Tier1_Basic,2026-05-24,76.68
FLR-ACC-100090,Grace Balogun,Individual,FR,EUR,Tier2_Verified,2024-01-11,29.87
FLR-ACC-100091,North Trading Inc,Business,US,USD,Tier1_Basic,2024-11-13,1342.76
FLR-ACC-100092,Aisha Fashola,Individual,GB,GBP,Tier2_Verified,2023-09-29,22.38
FLR-ACC-100093,Sarah Green,Individual,GB,GBP,Tier2_Verified,2025-06-05,49.56
FLR-ACC-100094,Chioma Nwosu,Individual,NG,NGN,Tier2_Verified,2024-07-04,64.33
FLR-ACC-100095,Metro Technologies Ltd,Business,US,USD,Tier3_Enhanced,2025-07-30,138.44
FLR-ACC-100096,Laura Hassan,Individual,GB,GBP,Tier3_Enhanced,2025-08-17,65.45
FLR-ACC-100097,James Bello,Individual,GB,GBP,Tier3_Enhanced,2025-04-20,64.55
FLR-ACC-100098,Ben Nwosu,Individual,NG,NGN,Tier2_Verified,2026-01-18,88.09
FLR-ACC-100099,Grace Ibrahim,Individual,NG,NGN,Tier1_Basic,2025-02-15,19.63
FLR-ACC-100100,Bluewave Media Co.,Business,NG,NGN,Tier3_Enhanced,2024-10-14,1402.35
FLR-ACC-100101,Grace Nwosu,Individual,GB,GBP,Tier1_Basic,2025-05-31,30.75
FLR-ACC-100102,James Adeyemi,Individual,FR,EUR,Tier3_Enhanced,2024-05-07,31.88
FLR-ACC-100103,Aisha Williams,Individual,FR,EUR,Tier2_Verified,2024-11-22,38.18
FLR-ACC-100104,Sunrise Textiles Co.,Business,GB,GBP,Tier1_Basic,2025-01-04,768.46
FLR-ACC-100105,Yetunde Adekunle,Individual,GB,GBP,Tier1_Basic,2025-05-06,45.13
FLR-ACC-100106,John Obi,Individual,DE,EUR,Tier2_Verified,2024-01-16,46.17
FLR-ACC-100107,Metro Textiles Ltd,Business,NG,NGN,Tier1_Basic,2026-05-29,682.83
FLR-ACC-100108,Ifeoma Okafor,Individual,US,USD,Tier2_Verified,2024-07-18,46.37
FLR-ACC-100109,Kunle Okoro,Individual,US,USD,Tier3_Enhanced,2024-06-07,36.69
FLR-ACC-100110,Urban Technologies Ltd,Business,NG,NGN,Tier2_Verified,2026-02-22,249.8
FLR-ACC-100111,Metro Retail LLC,Business,NG,NGN,Tier2_Verified,2024-09-12,338.44
FLR-ACC-100112,James Okafor,Individual,FR,EUR,Tier2_Verified,2024-12-07,61.54
FLR-ACC-100113,Bluewave Retail Ltd,Business,GB,GBP,Tier3_Enhanced,2025-03-21,1226.91
FLR-ACC-100114,Kemi Adeyemi,Individual,NG,NGN,Tier1_Basic,2024-10-03,57.6
FLR-ACC-100115,Metro Trading LLC,Business,NG,NGN,Tier2_Verified,2026-02-09,1093.93
FLR-ACC-100116,Sunrise Media Inc,Business,FR,EUR,Tier3_Enhanced,2025-07-11,859.13
FLR-ACC-100117,Femi Adekunle,Individual,NG,NGN,Tier2_Verified,2025-08-22,152.67
FLR-ACC-100118,Chioma Adeyemi,Individual,GB,GBP,Tier3_Enhanced,2023-10-13,65.08
FLR-ACC-100119,Urban Retail Inc,Business,NG,NGN,Tier1_Basic,2026-05-08,333.78
FLR-ACC-100120,Musa Okoro,Individual,NG,NGN,Tier2_Verified,2024-09-17,12.83
FLR-ACC-100121,Femi Okoro,Individual,NG,NGN,Tier2_Verified,2024-04-23,47.56
FLR-ACC-100122,Metro Trading Co.,Business,NG,NGN,Tier2_Verified,2026-02-10,658.33
FLR-ACC-100123,David Okafor,Individual,GB,GBP,Tier2_Verified,2024-03-13,85.24
FLR-ACC-100124,Bluewave Foods LLC,Business,NG,NGN,Tier3_Enhanced,2024-04-13,120.34
FLR-ACC-100125,Ben Nwosu,Individual,NG,NGN,Tier2_Verified,2025-12-04,32.2
FLR-ACC-100126,Ifeoma Obi,Individual,FR,EUR,Tier3_Enhanced,2026-02-10,30.17
FLR-ACC-100127,Ngozi Balogun,Individual,US,USD,Tier2_Verified,2025-12-02,38.97
FLR-ACC-100128,Chioma Williams,Individual,FR,EUR,Tier2_Verified,2024-01-29,93.76
FLR-ACC-100129,Chioma Nwosu,Individual,NG,NGN,Tier2_Verified,2026-02-21,81.12
FLR-ACC-100130,Global Consulting Inc,Business,NG,NGN,Tier2_Verified,2025-05-25,1233.9
FLR-ACC-100131,Ngozi Obi,Individual,GB,GBP,Tier2_Verified,2025-07-02,19.54
FLR-ACC-100132,James Nwosu,Individual,NG,NGN,Tier1_Basic,2025-08-04,17.8
FLR-ACC-100133,Ifeoma Smith,Individual,DE,EUR,Tier1_Basic,2024-11-06,53.64
FLR-ACC-100134,Global Consulting LLC,Business,NG,NGN,Tier2_Verified,2025-11-10,242.32
FLR-ACC-100135,Amaka Hassan,Individual,NG,NGN,Tier2_Verified,2025-09-20,54.09
FLR-ACC-100136,Urban Consulting LLC,Business,NG,NGN,Tier3_Enhanced,2024-08-04,447.03
FLR-ACC-100137,Daniel Fashola,Individual,US,USD,Tier2_Verified,2025-05-24,95.41
FLR-ACC-100138,Chuka Eze,Individual,US,USD,Tier2_Verified,2025-10-28,115.85
FLR-ACC-100139,Global Logistics Co.,Business,NG,NGN,Tier3_Enhanced,2025-01-09,280.42
FLR-ACC-100140,Metro Foods Ltd,Business,US,USD,Tier2_Verified,2022-12-21,603.82
FLR-ACC-100141,Ruth Brown,Individual,NG,NGN,Tier2_Verified,2022-08-17,78.46
FLR-ACC-100142,John Obi,Individual,FR,EUR,Tier1_Basic,2025-05-30,146.88
FLR-ACC-100143,Global Media Co.,Business,NG,NGN,Tier3_Enhanced,2023-10-11,584.16
FLR-ACC-100144,James Adekunle,Individual,US,USD,Tier2_Verified,2026-03-11,17.19
FLR-ACC-100145,Sunrise Trading Ltd,Business,DE,EUR,Tier1_Basic,2026-07-15,612.45
FLR-ACC-100146,Chidi Okafor,Individual,NG,NGN,Tier2_Verified,2023-09-04,43.8
FLR-ACC-100147,Olu Chukwu,Individual,NG,NGN,Tier2_Verified,2025-06-18,20.7
FLR-ACC-100148,Laura Brown,Individual,NG,NGN,Tier3_Enhanced,2022-11-10,111.95
FLR-ACC-100149,Apex Media Ltd,Business,FR,EUR,Tier1_Basic,2026-01-07,271.9
FLR-ACC-100150,Chidi Johnson,Individual,NG,NGN,Tier2_Verified,2025-12-18,56.48
FLR-ACC-100151,Metro Builders Inc,Business,GB,GBP,Tier1_Basic,2023-12-03,279.09
FLR-ACC-100152,North Ventures LLC,Business,GB,GBP,Tier3_Enhanced,2025-10-31,472.56
FLR-ACC-100153,Silverline Foods Inc,Business,NG,NGN,Tier3_Enhanced,2024-08-08,595.09
FLR-ACC-100154,James Ibrahim,Individual,NG,NGN,Tier1_Basic,2025-04-22,76.58
FLR-ACC-100155,Sunrise Builders Co.,Business,US,USD,Tier3_Enhanced,2025-07-22,2482.62
FLR-ACC-100156,Funke Johnson,Individual,NG,NGN,Tier2_Verified,2025-10-29,202.15
FLR-ACC-100157,Chidi Adeyemi,Individual,NG,NGN,Tier1_Basic,2026-04-13,37.62
FLR-ACC-100158,Musa Green,Individual,NG,NGN,Tier2_Verified,2023-12-14,108.2
FLR-ACC-100159,Ben Okafor,Individual,DE,EUR,Tier2_Verified,2025-11-01,141.7
FLR-ACC-100160,Chuka Obi,Individual,US,USD,Tier3_Enhanced,2024-03-07,102.06
FLR-ACC-100161,Sunrise Foods Co.,Business,NG,NGN,Tier1_Basic,2025-10-31,725.75
FLR-ACC-100162,Urban Foods Inc,Business,DE,EUR,Tier1_Basic,2025-06-18,510.51
FLR-ACC-100163,Ngozi Okafor,Individual,GB,GBP,Tier3_Enhanced,2025-09-21,45.54
FLR-ACC-100164,Ruth Smith,Individual,NG,NGN,Tier3_Enhanced,2024-08-02,32.94
FLR-ACC-100165,James Williams,Individual,NG,NGN,Tier2_Verified,2026-03-15,34.65
FLR-ACC-100166,Peter Balogun,Individual,NG,NGN,Tier2_Verified,2024-02-22,83.81
FLR-ACC-100167,Ruth Hassan,Individual,US,USD,Tier2_Verified,2026-01-15,38.77
FLR-ACC-100168,Kemi Williams,Individual,NG,NGN,Tier2_Verified,2025-12-22,108.5
FLR-ACC-100169,Silverline Trading Inc,Business,NG,NGN,Tier2_Verified,2025-04-16,206.88
FLR-ACC-100170,Musa Obi,Individual,NG,NGN,Tier3_Enhanced,2024-12-09,109.22
FLR-ACC-100171,Blessing Adekunle,Individual,NG,NGN,Tier3_Enhanced,2024-09-07,30.91
FLR-ACC-100172,John Eze,Individual,GB,GBP,Tier3_Enhanced,2024-04-12,28.22
FLR-ACC-100173,Tobi Brown,Individual,NG,NGN,Tier2_Verified,2024-01-02,40.29
FLR-ACC-100174,Blessing Yusuf,Individual,GB,GBP,Tier2_Verified,2024-12-08,183.19
FLR-ACC-100175,Kunle Green,Individual,US,USD,Tier3_Enhanced,2024-09-26,120.09
FLR-ACC-100176,Global Builders Ltd,Business,FR,EUR,Tier1_Basic,2026-04-27,137.9
FLR-ACC-100177,Metro Technologies Inc,Business,NG,NGN,Tier2_Verified,2026-01-17,1626.38
FLR-ACC-100178,Greenfield Media Inc,Business,GB,GBP,Tier2_Verified,2025-11-01,359.08
FLR-ACC-100179,Funke Okafor,Individual,NG,NGN,Tier3_Enhanced,2025-07-07,16.34
FLR-ACC-100180,Bluewave Builders LLC,Business,US,USD,Tier2_Verified,2023-08-16,2276.55
FLR-ACC-100181,Metro Textiles Co.,Business,GB,GBP,Tier3_Enhanced,2025-06-01,359.9
FLR-ACC-100182,Sunrise Consulting LLC,Business,NG,NGN,Tier2_Verified,2026-02-20,224.61
FLR-ACC-100183,Chioma Yusuf,Individual,NG,NGN,Tier1_Basic,2025-06-14,114.58
FLR-ACC-100184,Prime Foods Ltd,Business,NG,NGN,Tier3_Enhanced,2021-12-26,1276.72
FLR-ACC-100185,Yetunde Nwosu,Individual,NG,NGN,Tier2_Verified,2026-01-22,19.79
FLR-ACC-100186,Ifeoma Eze,Individual,US,USD,Tier2_Verified,2026-01-08,97.24
FLR-ACC-100187,Chidi Ibrahim,Individual,NG,NGN,Tier2_Verified,2024-04-18,29.27
FLR-ACC-100188,Ngozi Adeyemi,Individual,US,USD,Tier1_Basic,2026-04-03,23.13
FLR-ACC-100189,Kunle Ibrahim,Individual,NG,NGN,Tier3_Enhanced,2024-02-14,48.32
FLR-ACC-100190,Blessing Yusuf,Individual,NG,NGN,Tier3_Enhanced,2023-01-31,59.54
FLR-ACC-100191,Peter Obi,Individual,NG,NGN,Tier3_Enhanced,2024-10-19,39.05
FLR-ACC-100192,Mary Johnson,Individual,FR,EUR,Tier3_Enhanced,2024-01-02,27.02
FLR-ACC-100193,Ngozi Nwosu,Individual,DE,EUR,Tier1_Basic,2026-07-31,52.57
FLR-ACC-100194,Kunle Fashola,Individual,NG,NGN,Tier2_Verified,2025-03-27,135.28
FLR-ACC-100195,Prime Foods Ltd,Business,NG,NGN,Tier1_Basic,2026-07-04,332.42
FLR-ACC-100196,John Bello,Individual,US,USD,Tier3_Enhanced,2024-09-17,132.13
FLR-ACC-100197,Chioma Taylor,Individual,NG,NGN,Tier2_Verified,2025-04-17,37.7
FLR-ACC-100198,Apex Logistics LLC,Business,NG,NGN,Tier2_Verified,2023-03-19,536.74
FLR-ACC-100199,Laura Hassan,Individual,US,USD,Tier3_Enhanced,2023-01-05,62.44
FLR-ACC-100200,Urban Foods Inc,Business,US,USD,Tier3_Enhanced,2022-06-29,203.51
FLR-ACC-100201,Peter Ibrahim,Individual,NG,NGN,Tier3_Enhanced,2022-12-16,174.55
FLR-ACC-100202,Chuka Williams,Individual,NG,NGN,Tier1_Basic,2024-08-01,76.44
FLR-ACC-100203,James Smith,Individual,US,USD,Tier2_Verified,2024-07-26,65.36
FLR-ACC-100204,Sarah Brown,Individual,DE,EUR,Tier3_Enhanced,2025-06-11,59.89
FLR-ACC-100205,David Nwosu,Individual,NG,NGN,Tier1_Basic,2025-03-26,67.7
FLR-ACC-100206,Bluewave Consulting Inc,Business,NG,NGN,Tier2_Verified,2022-06-28,929.74
FLR-ACC-100207,Metro Ventures Co.,Business,NG,NGN,Tier2_Verified,2022-06-03,1479.41
FLR-ACC-100208,Prime Consulting Co.,Business,US,USD,Tier3_Enhanced,2025-11-04,590.58
FLR-ACC-100209,Tobi Johnson,Individual,NG,NGN,Tier3_Enhanced,2022-12-13,69.13
FLR-ACC-100210,Kemi Taylor,Individual,DE,EUR,Tier2_Verified,2025-12-19,45.67
FLR-ACC-100211,Kunle Obi,Individual,GB,GBP,Tier2_Verified,2022-01-24,27.06
FLR-ACC-100212,Chioma Okoro,Individual,US,USD,Tier3_Enhanced,2023-12-02,80.83
FLR-ACC-100213,David Smith,Individual,NG,NGN,Tier3_Enhanced,2023-01-22,21.35
FLR-ACC-100214,North Technologies Ltd,Business,NG,NGN,Tier3_Enhanced,2023-12-08,1066.63
FLR-ACC-100215,Sarah Brown,Individual,DE,EUR,Tier2_Verified,2024-10-22,60.14
FLR-ACC-100216,North Logistics LLC,Business,NG,NGN,Tier1_Basic,2024-04-10,187.08
FLR-ACC-100217,Metro Ventures Ltd,Business,NG,NGN,Tier2_Verified,2025-04-02,525.96
FLR-ACC-100218,Emeka Yusuf,Individual,GB,GBP,Tier1_Basic,2025-12-12,20.48
FLR-ACC-100219,Silverline Trading Ltd,Business,NG,NGN,Tier3_Enhanced,2024-11-19,231.7
FLR-ACC-100220,Urban Logistics Ltd,Business,GB,GBP,Tier3_Enhanced,2023-12-24,83.25
FLR-ACC-100221,Grace Balogun,Individual,NG,NGN,Tier3_Enhanced,2024-08-06,165.25
FLR-ACC-100222,Ifeoma Yusuf,Individual,DE,EUR,Tier2_Verified,2024-03-01,45.0
FLR-ACC-100223,Laura Adekunle,Individual,NG,NGN,Tier2_Verified,2024-07-28,23.18
FLR-ACC-100224,Laura Taylor,Individual,NG,NGN,Tier3_Enhanced,2025-08-19,77.74
FLR-ACC-100225,Laura Adekunle,Individual,NG,NGN,Tier2_Verified,2026-02-08,30.12
FLR-ACC-100226,Metro Media Ltd,Business,NG,NGN,Tier2_Verified,2025-06-18,235.65
FLR-ACC-100227,Funke Taylor,Individual,NG,NGN,Tier1_Basic,2026-04-04,59.86
FLR-ACC-100228,Metro Media Co.,Business,NG,NGN,Tier2_Verified,2025-01-23,1108.2
FLR-ACC-100229,Prime Trading Co.,Business,GB,GBP,Tier3_Enhanced,2024-10-09,1041.68
FLR-ACC-100230,Chuka Adekunle,Individual,FR,EUR,Tier1_Basic,2023-08-16,63.43
FLR-ACC-100231,North Builders Ltd,Business,NG,NGN,Tier2_Verified,2025-01-12,258.07
FLR-ACC-100232,Silverline Consulting Ltd,Business,GB,GBP,Tier2_Verified,2025-08-07,304.88
FLR-ACC-100233,Global Media Co.,Business,US,USD,Tier2_Verified,2024-08-11,282.31
FLR-ACC-100234,Aisha Brown,Individual,NG,NGN,Tier1_Basic,2024-05-21,63.16
FLR-ACC-100235,Chuka Taylor,Individual,NG,NGN,Tier3_Enhanced,2024-12-24,40.04
FLR-ACC-100236,Aisha Johnson,Individual,US,USD,Tier2_Verified,2025-09-04,27.25
FLR-ACC-100237,Kemi Johnson,Individual,NG,NGN,Tier3_Enhanced,2023-08-04,83.04
FLR-ACC-100238,Funke Okoro,Individual,GB,GBP,Tier1_Basic,2024-03-26,34.13
FLR-ACC-100239,Prime Foods LLC,Business,DE,EUR,Tier3_Enhanced,2025-03-08,135.31
FLR-ACC-100240,Tobi Chukwu,Individual,FR,EUR,Tier2_Verified,2026-03-21,130.58
FLR-ACC-100241,Amaka Eze,Individual,NG,NGN,Tier3_Enhanced,2023-12-20,111.74
FLR-ACC-100242,Chuka Eze,Individual,US,USD,Tier1_Basic,2026-08-08,17.96
FLR-ACC-100243,Peter Balogun,Individual,GB,GBP,Tier2_Verified,2025-01-13,47.06
FLR-ACC-100244,John Brown,Individual,US,USD,Tier2_Verified,2023-12-22,29.49
FLR-ACC-100245,Ruth Eze,Individual,NG,NGN,Tier1_Basic,2024-05-26,121.08
FLR-ACC-100246,David Okafor,Individual,NG,NGN,Tier2_Verified,2024-02-29,45.75
FLR-ACC-100247,Sunrise Logistics Co.,Business,NG,NGN,Tier3_Enhanced,2024-08-27,665.72
FLR-ACC-100248,Apex Ventures Ltd,Business,GB,GBP,Tier2_Verified,2024-06-20,143.09
FLR-ACC-100249,Ifeoma Johnson,Individual,GB,GBP,Tier2_Verified,2023-04-15,70.14
FLR-ACC-100250,Kunle Taylor,Individual,NG,NGN,Tier2_Verified,2025-09-06,341.53
FLR-ACC-100251,Sarah Obi,Individual,NG,NGN,Tier2_Verified,2025-05-05,156.69
FLR-ACC-100252,Chidi Ibrahim,Individual,FR,EUR,Tier3_Enhanced,2023-10-03,131.41
FLR-ACC-100253,Femi Adekunle,Individual,FR,EUR,Tier3_Enhanced,2023-06-23,158.37
FLR-ACC-100254,Laura Johnson,Individual,GB,GBP,Tier2_Verified,2025-01-18,46.32
FLR-ACC-100255,David Yusuf,Individual,NG,NGN,Tier3_Enhanced,2025-08-24,82.36
FLR-ACC-100256,Chidi Eze,Individual,US,USD,Tier3_Enhanced,2025-02-20,68.08
FLR-ACC-100257,Bluewave Builders Inc,Business,NG,NGN,Tier3_Enhanced,2024-07-13,323.87
FLR-ACC-100258,Michael Okoro,Individual,GB,GBP,Tier3_Enhanced,2025-01-25,55.08
FLR-ACC-100259,Kemi Obi,Individual,NG,NGN,Tier3_Enhanced,2025-05-04,165.82
FLR-ACC-100260,Femi Obi,Individual,NG,NGN,Tier2_Verified,2025-09-20,116.35
FLR-ACC-100261,Global Consulting LLC,Business,US,USD,Tier3_Enhanced,2024-05-29,412.74
FLR-ACC-100262,Ben Ibrahim,Individual,NG,NGN,Tier2_Verified,2024-12-09,111.19
FLR-ACC-100263,Tobi Okafor,Individual,NG,NGN,Tier2_Verified,2026-03-16,268.01
FLR-ACC-100264,Peter Ibrahim,Individual,NG,NGN,Tier2_Verified,2024-08-18,35.96
FLR-ACC-100265,Ngozi Nwosu,Individual,DE,EUR,Tier1_Basic,2025-06-10,48.37
FLR-ACC-100266,Global Consulting Ltd,Business,NG,NGN,Tier1_Basic,2024-02-28,283.41
FLR-ACC-100267,Ruth Adeyemi,Individual,NG,NGN,Tier3_Enhanced,2023-04-03,195.31
FLR-ACC-100268,Funke Eze,Individual,NG,NGN,Tier3_Enhanced,2025-02-09,38.13
FLR-ACC-100269,Apex Technologies Inc,Business,US,USD,Tier2_Verified,2025-06-03,370.14
